age,workclass,education,educational_num,marital_status,occupation,relationship,hours_per_week,native_country,income
25,Private,11th,7,Never-married,Machine-op-inspct,Own-child,40,United-States,<=50K
38,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,50,United-States,<=50K
28,Local-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,40,United-States,>50K
44,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,40,United-States,>50K
18,?,Some-college,10,Never-married,?,Own-child,30,United-States,<=50K
34,Private,10th,6,Never-married,Other-service,Not-in-family,30,United-States,<=50K
29,?,HS-grad,9,Never-married,?,Unmarried,40,United-States,<=50K
63,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,32,United-States,>50K
24,Private,Some-college,10,Never-married,Other-service,Unmarried,40,United-States,<=50K
55,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,10,United-States,<=50K
65,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,40,United-States,>50K
36,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,40,United-States,<=50K
26,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,39,United-States,<=50K
58,?,HS-grad,9,Married-civ-spouse,?,Husband,35,United-States,<=50K
48,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,48,United-States,>50K
43,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,50,United-States,>50K
20,State-gov,Some-college,10,Never-married,Other-service,Own-child,25,United-States,<=50K
43,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,30,United-States,<=50K
37,Private,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,20,United-States,<=50K
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,45,?,>50K
34,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,47,United-States,>50K
34,Private,Some-college,10,Never-married,Other-service,Own-child,35,United-States,<=50K
72,?,7th-8th,4,Divorced,?,Not-in-family,6,United-States,<=50K
25,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,43,Peru,<=50K
25,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,40,United-States,<=50K
45,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,90,United-States,>50K
22,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,20,United-States,<=50K
23,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,54,United-States,<=50K
54,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,35,United-States,<=50K
32,Self-emp-not-inc,Some-college,10,Never-married,Prof-specialty,Not-in-family,60,United-States,<=50K
